國文,英文,數學,社會,自然
14,11,13,14,13
11,9,8,6,12
14,7,11,13,8
13,9,14,11,8
6,12,15,6,10
9,11,11,15,10
8,10,14,7,9
13,8,7,13,14
15,13,7,13,12
7,14,13,8,8
6,12,8,14,7
12,12,11,8,8
15,6,8,15,11
11,14,8,12,13
10,6,13,12,14
7,7,14,15,9
9,14,14,9,13
12,10,14,13,13
12,15,7,13,15
7,12,8,11,8
12,11,13,12,9
12,6,8,13,13
14,14,13,9,12
8,10,15,10,10
6,7,7,10,8
8,14,10,9,12
6,13,14,12,15
13,10,14,8,6
15,15,9,10,6
10,11,7,15,6
12,14,10,13,9
11,11,15,11,11
8,8,14,12,8
10,12,9,9,10
9,7,12,10,10
10,11,15,9,8
12,12,15,12,14
10,8,13,14,6
15,7,7,14,11
14,8,13,14,12
11,11,12,8,12
10,12,8,11,13
7,9,11,15,14
7,9,11,8,11
6,14,7,15,15
10,15,9,8,7
13,13,14,8,15
7,12,7,8,14
13,8,15,9,11
8,10,7,9,7
7,10,8,10,9
10,14,12,15,7
13,6,6,11,9
7,7,10,8,10
15,15,7,9,14
15,14,8,13,15
15,11,15,12,11
8,14,14,9,15
15,13,8,8,10
15,9,13,10,9
12,9,14,13,14
12,12,12,12,12
13,7,14,13,15
6,6,14,8,11
6,6,9,15,15
7,14,11,13,11
13,11,15,6,6
14,12,9,10,13
10,13,9,10,8
8,13,10,15,8
13,7,15,12,6
6,13,12,8,11
13,12,10,8,6
7,14,10,9,13
14,10,6,13,15
15,14,7,11,13
14,6,15,15,14
13,7,10,12,7
9,12,14,12,7
9,7,10,8,11
13,9,11,11,12
14,6,6,9,15
10,15,13,12,15
13,7,12,6,7
6,11,13,13,12
7,11,12,13,14
7,14,13,15,13
14,14,8,7,9
10,11,9,12,12
13,14,6,7,11
13,8,7,15,8
9,14,9,6,14
13,15,12,13,6
8,15,8,12,6
14,13,11,10,8
8,13,14,10,7
13,8,11,11,13
14,11,7,11,13
6,7,6,11,9
11,13,9,8,6
